,5th_eps_pipe_tens,16th_eps_pipe_tens,50th_eps_pipe_tens,84th_eps_pipe_tens,95th_eps_pipe_tens,mean_eps_pipe_tens
segment_175049,0.0,0.0,0.0,0.0,0.0,0.0
segment_175050,0.0,0.0,0.0,0.0,0.0,0.0
segment_175051,0.0,0.0,0.0,0.0,0.0,0.0
segment_175052,0.0,0.0,0.0,0.0,0.0,0.0
segment_175053,0.0,0.0,0.00026725,0.003445,0.00926,0.004005
segment_175054,0.0,0.0,0.00024955,0.00335,0.007625,0.00375
segment_175055,0.0,0.0,0.00016365,0.0015635,0.00174325,0.00143625
segment_175056,0.0,0.0,0.00014235,0.00156875,0.00175625,0.00144025
segment_175057,0.0,0.0,0.0001538,0.001644,0.00184325,0.0015545
segment_175058,0.0,0.0,0.0001401,0.00172425,0.00191175,0.00165075
segment_175059,0.0,0.0,0.00014865,0.001536,0.00173375,0.00139425
segment_175060,0.0,0.0,0.000145975,0.00172275,0.00194675,0.00165825
segment_175061,0.0,0.0,0.00012525,0.001674,0.00188675,0.00159325
segment_175062,0.0,0.0,0.000134225,0.0017685,0.00204025,0.00172475
segment_175063,0.0,0.0,0.0001451,0.001559,0.001745,0.001425
segment_175064,0.0,0.0,0.000157575,0.00166525,0.0018635,0.0015805
segment_175065,0.0,0.0,0.0,0.0,0.0,0.0
segment_175066,0.0,0.0,0.0,0.0,0.0,0.0
segment_175067,0.0,0.0,0.0,0.0,0.0,0.0
segment_175068,0.0,0.0,0.0,0.0,0.0,0.0
segment_175069,0.0,0.0,0.0,0.0,0.0,0.0
segment_175070,0.0,0.0,0.0,0.0,0.0,0.0
segment_175071,0.0,0.0,0.0,0.0,0.0,0.0
segment_175072,0.0,0.0,0.0,0.0,0.0,0.0
segment_175073,0.0,0.0,0.0,0.0,0.0,0.0
segment_175074,0.0,0.0,0.0,0.0,0.0,0.0
segment_175075,0.0,0.0,0.0,0.0,0.0,0.0
segment_175076,0.0,0.0,0.0,0.0,0.0,0.0
segment_175077,0.0,0.0,4.3025e-05,0.00028475,0.0003165,0.000198575
segment_175078,0.0,0.0,5.73e-05,0.00032225,0.0003535,0.00022325
segment_175079,0.0,0.0,4.295e-05,0.000272,0.000302,0.00018895
segment_175080,0.0,0.0,3.8975e-05,0.0002339,0.000256,0.0001592
segment_175081,0.0,0.0,4.455e-05,0.00026875,0.00029575,0.000186325
segment_175082,0.0,0.0,3.9275e-05,0.00021855,0.000241675,0.000149375
segment_175083,0.0,0.0,0.0,0.0,0.0,0.0
segment_175084,0.0,0.0,0.0,0.0,0.0,0.0
segment_175085,0.0,0.0,0.0,0.0,0.0,0.0
segment_175086,0.0,0.0,0.0,0.0,0.0,0.0
segment_175087,0.0,0.0,0.0,0.0,0.0,0.0
segment_175088,0.0,0.0,0.0,0.0,0.0,0.0
segment_175089,0.0,0.0,0.0,0.0,0.0,0.0
segment_175090,0.0,0.0,0.0,0.0,0.0,0.0
segment_175091,0.0,0.0,0.0,0.0,0.0,0.0
segment_175092,0.0,0.0,0.0,0.0,0.0,0.0
segment_175093,0.0,0.0,0.0,0.0,0.0,0.0
segment_175094,0.0,0.0,0.0,0.0,0.0,0.0
segment_175095,0.0,0.0,0.0,0.0,0.0,0.0
segment_175096,0.0,0.0,0.0,0.0,0.0,0.0
