LON,LAT,vs30,z1p0,z2p5,vs30source,vs30_ref,z1p0_ref,z2p5_ref
-124.25,42,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.25,40.05,180,0.037936295,0.828,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.1,180,0.018264048,0.813333374,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.05,180,0.018517834,0.79625,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.15,468.4,0,0.89375,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.2,468.4,0.06125,0.877333313,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.25,468.4,0.0392304,0.925333313,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.3,468.4,0.06125,0.877333313,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.35,468.4,0.061176472,0.87625,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.4,468.4,0.058867386,0.941333313,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.45,468.4,0,0.88625,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.5,468.4,0,0.87125,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.55,468.4,0,0.885333313,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.6,228.2,0.019138344,0.904,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.65,444,0,0.87,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.7,386.6,0,0.85375,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.75,351.9,0.019047165,0.904,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.8,293.5,0.019138344,0.884,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.85,180,0.019417192,0.888,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.9,180,0.058517834,0.85625,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.2,40.9,180,0.019704288,0.87125,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.95,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.2,40.95,180,0.019801882,0.8525,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,41,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.25,41.05,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.2,41.05,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.2,41,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.2,41.1,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.2,41.15,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.25,41.2,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
