SectionID,SectionName,SectionTrace
1209,"San Andreas (North Coast) 2011 CFM, Subsection 10","[[-123.01624, 38.28811, 0.0], [-123.04885, 38.32869, 0.0]]"
230,"San Andreas (North Coast) 2011 CFM, Subsection 11","[[-123.04885, 38.32869, 0.0], [-123.07988, 38.36727, 0.0], [-123.08168, 38.36916, 0.0]]"
1374,"San Andreas (North Coast) 2011 CFM, Subsection 12","[[-123.08168, 38.36916, 0.0], [-123.11838, 38.40755, 0.0]]"
2570,"San Andreas (North Coast) 2011 CFM, Subsection 13","[[-123.11838, 38.40755, 0.0], [-123.11884, 38.40803, 0.0], [-123.15761, 38.44438, 0.0]]"
2529,"San Andreas (Peninsula) 2011 CFM, Subsection 1","[[-122.0484, 37.21722, 0.0], [-122.05407, 37.22235, 0.0], [-122.0946, 37.25948, 0.0]]"
654,"San Andreas (Peninsula) 2011 CFM, Subsection 11","[[-122.48136, 37.6579, 0.0], [-122.50232, 37.67787, 0.0], [-122.52514, 37.70191, 0.0]]"
2317,"San Andreas (Peninsula) 2011 CFM, Subsection 12","[[-122.52514, 37.70191, 0.0], [-122.54528, 37.72311, 0.0], [-122.56318, 37.74899, 0.0]]"
1411,"San Andreas (Peninsula) 2011 CFM, Subsection 13","[[-122.56318, 37.74899, 0.0], [-122.59721, 37.79814, 0.0]]"
172,"San Andreas (Peninsula) 2011 CFM, Subsection 14","[[-122.59721, 37.79814, 0.0], [-122.61984, 37.83078, 0.0], [-122.63122, 37.8473, 0.0]]"
667,"San Andreas (Peninsula) 2011 CFM, Subsection 15","[[-122.63122, 37.8473, 0.0], [-122.66515, 37.89651, 0.0]]"
2233,"San Andreas (North Coast) 2011 CFM, Subsection 0","[[-122.66515, 37.89651, 0.0], [-122.70154, 37.93494, 0.0]]"
2549,"San Andreas (North Coast) 2011 CFM, Subsection 19","[[-123.34984, 38.63122, 0.0], [-123.36404, 38.64567, 0.0], [-123.38711, 38.66935, 0.0]]"
943,"San Andreas (North Coast) 2011 CFM, Subsection 20","[[-123.38711, 38.66935, 0.0], [-123.42434, 38.70752, 0.0]]"
1691,"San Andreas (North Coast) 2011 CFM, Subsection 21","[[-123.42434, 38.70752, 0.0], [-123.43288, 38.71626, 0.0], [-123.4625, 38.74513, 0.0]]"
1788,"San Andreas (North Coast) 2011 CFM, Subsection 22","[[-123.4625, 38.74513, 0.0], [-123.48366, 38.76575, 0.0], [-123.49981, 38.78325, 0.0]]"
