SourceIndex,Longitude,Latitude,Depth
355971,-120.3,33.5,0
355972,-120.2,33.5,0
355973,-120.1,33.5,0
355974,-120,33.5,0
355975,-119.9,33.5,0
355976,-119.8,33.5,0
355977,-119.7,33.5,0
355978,-119.6,33.5,0
355979,-119.5,33.5,0
355980,-119.4,33.5,0
355981,-119.3,33.5,0
355982,-119.2,33.5,0
355983,-119.1,33.5,0
355984,-119,33.5,0
355985,-118.9,33.5,0
355986,-118.8,33.5,0
355987,-118.7,33.5,0
355988,-118.6,33.5,0
355989,-118.5,33.5,0
355990,-118.4,33.5,0
355991,-118.3,33.5,0
355992,-118.2,33.5,0
355993,-118.1,33.5,0
355994,-118,33.5,0
355995,-117.9,33.5,0
355996,-117.8,33.5,0
355997,-117.7,33.5,0
355998,-117.6,33.5,0
355999,-117.5,33.5,0
356000,-117.4,33.5,0
356001,-117.3,33.5,0
356002,-117.2,33.5,0
356003,-117.1,33.5,0
356004,-117,33.5,0
356005,-116.9,33.5,0
356006,-116.8,33.5,0
356007,-116.7,33.5,0
356008,-116.6,33.5,0
356009,-116.5,33.5,0
356010,-116.4,33.5,0
356011,-116.3,33.5,0
356012,-116.2,33.5,0
356013,-116.1,33.5,0
356014,-116,33.5,0
356015,-115.9,33.5,0
356016,-115.8,33.5,0
356017,-115.7,33.5,0
356018,-115.6,33.5,0
356019,-115.5,33.5,0
356020,-115.4,33.5,0
356021,-115.3,33.5,0
356022,-115.2,33.5,0
356023,-115.1,33.5,0
356024,-115,33.5,0
356025,-114.9,33.5,0
356026,-114.8,33.5,0
356027,-114.7,33.5,0
356028,-114.6,33.5,0
356029,-114.5,33.5,0
356030,-114.4,33.5,0
356031,-114.3,33.5,0
356032,-114.2,33.5,0
356033,-114.1,33.5,0
356034,-114,33.5,0
356035,-113.9,33.5,0
356036,-113.8,33.5,0
356037,-113.7,33.5,0
356038,-113.6,33.5,0
356039,-113.5,33.5,0
356040,-113.4,33.5,0
356041,-120.7,33.6,0
356042,-120.6,33.6,0
356043,-120.5,33.6,0
356044,-120.4,33.6,0
356045,-120.3,33.6,0
356046,-120.2,33.6,0
356047,-120.1,33.6,0
356048,-120,33.6,0
356049,-119.9,33.6,0
356050,-119.8,33.6,0
356051,-119.7,33.6,0
356052,-119.6,33.6,0
356053,-119.5,33.6,0
356054,-119.4,33.6,0
356055,-119.3,33.6,0
356056,-119.2,33.6,0
356057,-119.1,33.6,0
356058,-119,33.6,0
356059,-118.9,33.6,0
356060,-118.8,33.6,0
356061,-118.7,33.6,0
356062,-118.6,33.6,0
356063,-118.5,33.6,0
356064,-118.4,33.6,0
356065,-118.3,33.6,0
356066,-118.2,33.6,0
356067,-118.1,33.6,0
356068,-118,33.6,0
356069,-117.9,33.6,0
356070,-117.8,33.6,0
356071,-117.7,33.6,0
356072,-117.6,33.6,0
356073,-117.5,33.6,0
356074,-117.4,33.6,0
356075,-117.3,33.6,0
356076,-117.2,33.6,0
356077,-117.1,33.6,0
356078,-117,33.6,0
356079,-116.9,33.6,0
356080,-116.8,33.6,0
356081,-116.7,33.6,0
356082,-116.6,33.6,0
356083,-116.5,33.6,0
356084,-116.4,33.6,0
356085,-116.3,33.6,0
356086,-116.2,33.6,0
356087,-116.1,33.6,0
356088,-116,33.6,0
356089,-115.9,33.6,0
356090,-115.8,33.6,0
356091,-115.7,33.6,0
356092,-115.6,33.6,0
356093,-115.5,33.6,0
356094,-115.4,33.6,0
356095,-115.3,33.6,0
356096,-115.2,33.6,0
356097,-115.1,33.6,0
356098,-115,33.6,0
356099,-114.9,33.6,0
356100,-114.8,33.6,0
356101,-114.7,33.6,0
356102,-114.6,33.6,0
356103,-114.5,33.6,0
